iter	MultiClass
0	0.7819027174
1	0.6391468561
2	0.5652367354
3	0.5312484839
4	0.5128990629
5	0.4972210444
6	0.4804362115
7	0.4711824524
8	0.4638237175
9	0.458821451
10	0.4521610699
11	0.4460249973
12	0.4427145796
13	0.4401822785
14	0.4388684297
15	0.4343286161
16	0.4318969394
17	0.4275679403
18	0.4239206455
19	0.422428583
20	0.4194409099
21	0.4177839752
22	0.4125577665
23	0.4110876846
24	0.4099480181
25	0.4083774102
26	0.406732277
27	0.4052798877
28	0.4034541761
29	0.4021823249
30	0.4000376516
31	0.3983116058
32	0.3949784839
33	0.394166834
34	0.3918526489
35	0.3909146633
36	0.3896388537
37	0.3883960788
38	0.3876529418
39	0.3852039064
40	0.3831605427
41	0.3820307722
42	0.3809295235
43	0.3795359955
44	0.3785042684
45	0.3776824099
46	0.3764686367
47	0.3761059271
48	0.3747421463
49	0.3734343614
50	0.3718738637
51	0.3711642815
52	0.3700017835
53	0.3679731709
54	0.3676100685
55	0.3670807031
56	0.366235189
57	0.3653794411
58	0.3630749192
59	0.3619002087
60	0.3612908848
61	0.3601780202
62	0.3594995014
63	0.3581608918
64	0.3573621998
65	0.3556692027
66	0.3547994157
67	0.3543453902
68	0.3529891005
69	0.3519289486
70	0.3511997519
71	0.3507234244
72	0.3495638383
73	0.34899268
74	0.347975602
75	0.3469232566
76	0.3459192426
77	0.3441708521
78	0.3433246081
79	0.3419097227
80	0.3415631499
81	0.3409449276
82	0.339922512
83	0.3388666122
84	0.3378367119
85	0.3365256132
86	0.3356608398
87	0.3345885606
88	0.3337406742
89	0.3329319177
90	0.3326477106
91	0.3316455431
92	0.3310510511
93	0.3304758873
94	0.3296133568
95	0.3283461535
96	0.3280327756
97	0.3277270185
98	0.3268865419
99	0.3262570075
100	0.3257502977
101	0.3252259768
102	0.3243994662
103	0.3240444599
104	0.3233246862
105	0.3227491922
106	0.3216897522
107	0.3207353583
108	0.3197884404
109	0.318939272
110	0.3184267052
111	0.3162705523
112	0.3149219467
113	0.3142631141
114	0.3136830518
115	0.312727483
116	0.3124158295
117	0.3110765093
118	0.3103979957
119	0.3091017012
120	0.3085650982
121	0.3078613891
122	0.3068373993
123	0.3062553756
124	0.3053361213
125	0.304358039
126	0.3037734495
127	0.3035755344
128	0.3030134866
129	0.3025852187
130	0.3020505921
131	0.3015654912
132	0.30031238
133	0.2999441428
134	0.2992661181
135	0.298077785
136	0.2976828129
137	0.2971928605
138	0.2967507571
139	0.296107324
140	0.2955851865
141	0.2952992096
142	0.2950279799
143	0.294435638
144	0.2938490278
145	0.2935387954
146	0.292932869
147	0.2926922761
148	0.2922710843
149	0.2920018802
