iter	Passed	Remaining
0	48	7193
1	50	3705
2	51	2534
3	53	1948
4	55	1596
5	56	1359
6	58	1193
7	60	1073
8	62	973
9	63	894
10	65	828
11	67	774
12	69	727
13	70	686
14	72	650
15	74	620
16	76	595
17	78	573
18	79	551
19	81	530
20	83	512
21	85	495
22	87	480
23	88	466
24	90	453
25	92	441
26	94	430
27	96	419
28	98	409
29	100	400
30	101	391
31	103	383
32	105	375
33	107	367
34	109	361
35	111	354
36	113	347
37	115	341
38	117	334
39	119	328
40	121	322
41	123	316
42	125	311
43	127	306
44	128	300
45	130	296
46	132	291
47	134	286
48	136	282
49	138	277
50	140	273
51	142	268
52	144	264
53	146	259
54	147	255
55	149	250
56	151	246
57	152	242
58	154	238
59	156	234
60	158	230
61	160	227
62	161	223
63	163	219
64	165	216
65	167	212
66	168	209
67	170	205
68	172	202
69	174	199
70	175	195
71	177	192
72	179	189
73	181	186
74	183	183
75	185	180
76	187	177
77	189	174
78	190	171
79	192	168
80	194	165
81	196	162
82	197	159
83	199	156
84	201	154
85	204	151
86	206	149
87	207	146
88	209	143
89	211	140
90	213	138
91	214	135
92	216	132
93	218	130
94	220	127
95	222	125
96	224	122
97	226	119
98	227	117
99	229	114
100	231	112
101	233	109
102	235	107
103	236	104
104	238	102
105	240	99
106	241	97
107	243	94
108	245	92
109	247	90
110	249	87
111	251	85
112	253	83
113	255	80
114	256	78
115	258	75
116	260	73
117	262	71
118	263	68
119	265	66
120	267	64
121	269	61
122	271	59
123	273	57
124	275	55
125	277	52
126	279	50
127	281	48
128	283	46
129	285	43
130	287	41
131	289	39
132	291	37
133	293	35
134	295	32
135	297	30
136	299	28
137	301	26
138	303	24
139	305	21
140	307	19
141	309	17
142	311	15
143	313	13
144	315	10
145	317	8
146	318	6
147	320	4
148	322	2
149	324	0
