id,likes_count,dislikes_count,reactions_count
7,166,3,165
2,0,0,0
5239,0,0,0
52,165,1,163
8,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
23,0,0,0
27,0,0,0
30,0,0,0
32,0,0,0
36,0,0,0
37,0,0,0
40,0,0,0
42,0,0,0
50,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
70,0,0,0
72,0,0,0
76,0,0,0
9,9,0,9
22,14,0,14
10,42,0,42
15,2,0,2
11,6,0,6
51,10,0,10
77,21,0,21
5,16,0,16
69,46,0,46
20,5,0,5
59,13,0,13
60,49,2,51
56,1,0,1
58,25,0,25
31,345,0,345
65,33,0,33
74,46,0,46
66,44,2,46
61,113,2,115
18,88,0,88
17,304,4,308
57,40,0,40
19,16,0,16
26,237,6,243
21,14,0,14
67,167,4,171
25,72,0,72
79,40,1,41
78,88,0,88
28,172,6,178
71,10,1,11
29,335,4,337
24,3,0,3
75,358,4,362
73,39,0,39
35,1,0,1
34,10,0,10
33,235,3,238
39,27,0,27
44,63,3,66
41,14,0,14
38,61,1,62
43,75,2,77
1,126,1,127
46,16,0,16
45,16,0,16
49,237,2,239
47,17,0,17
48,13,0,13
16,91,1,87
5240,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
5241,1,0,1
91,0,0,0
94,0,0,0
87,321,5,318
106,0,0,0
112,0,0,0
114,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
136,0,0,0
142,0,0,0
156,47,1,47
134,78,0,78
111,3,0,3
113,6,0,6
81,2,0,2
105,1,0,1
82,4,0,4
103,77,1,76
98,21,0,21
100,9,0,9
117,350,1,367
90,2,0,2
141,16,0,16
93,38,0,38
143,14,1,15
104,8,0,8
95,110,2,112
148,216,6,222
119,39,0,39
89,214,6,220
96,86,0,86
97,11,0,11
99,9,0,9
102,2,0,2
108,416,7,423
109,207,10,218
132,28,0,28
137,2,0,2
125,63,0,63
116,6,0,6
110,6,0,6
144,61,0,61
149,33,0,33
107,381,6,387
135,44,0,44
151,13,0,13
140,118,1,119
152,1,0,1
124,8,0,8
123,18,0,18
128,6,0,6
139,11,0,11
147,466,6,472
131,1,0,1
133,4,0,4
138,446,3,449
153,4,0,4
126,205,7,212
154,10,0,10
129,4,1,5
155,21,0,23
130,89,1,90
150,10,0,10
146,120,1,121
145,514,3,517
167,384,3,378
228,366,6,371
5242,3,0,3
171,0,0,0
188,0,0,0
198,0,0,0
222,0,0,0
178,59,0,59
179,82,0,82
184,261,1,262
217,33,0,33
173,50,0,50
168,124,0,124
204,4,0,4
221,2,0,2
187,2,0,2
174,24,0,24
202,22,0,22
175,62,0,58
162,64,2,66
160,144,0,144
206,6,0,6
163,238,0,238
211,264,8,272
216,77,0,77
164,264,3,267
189,34,0,34
207,65,0,65
226,4,1,5
176,1,0,1
227,91,0,91
210,54,0,54
165,63,2,65
180,34,0,34
195,9,0,9
196,374,0,374
182,190,0,190
197,71,0,71
183,95,0,95
199,3,0,3
205,4,0,4
161,64,2,66
190,5,0,5
192,21,0,21
209,10,0,10
191,19,0,19
225,111,0,111
212,39,0,39
213,261,1,262
193,81,0,81
215,90,1,91
214,2,1,3
234,368,4,372
218,39,0,39
185,47,28,75
200,294,0,294
220,2,0,2
208,169,2,171
203,4,0,4
194,9,1,10
230,85,2,87
232,101,3,104
229,22,0,22
231,40,0,40
233,123,0,123
235,8,0,8
177,12,0,11
223,239,2,241
224,350,5,355
219,3,0,3
270,99,5,103
247,349,1,343
5243,0,0,0
5244,0,0,0
252,0,0,0
253,0,0,0
272,0,0,0
277,0,0,0
286,0,0,0
287,0,0,0
311,0,0,0
260,1,0,1
300,44,0,44
274,5,0,5
278,3,0,3
302,9,0,9
240,41,1,42
250,7,0,7
249,13,0,13
251,21,0,21
254,1,0,1
293,12,1,13
239,43,0,43
263,410,4,414
