id,emoji,sentiment,score
1,❤️,like,4.0
2,🔥,like,4.5
3,💯,like,4.0
4,❤️‍🔥,like,5.0
5,🚀,like,3.5
6,👑,like,3.5
7,🏆,like,3.0
8,🥰,like,4.0
9,🤩,like,4.5
10,🎉,like,4.0
11,💖,like,4.5
12,💞,like,4.5
13,💓,like,4.5
14,💗,like,4.5
15,💝,like,4.5
16,⚡,like,2.0
17,👍,like,3.0
18,👏,like,1.0
19,🧠,like,1.0
20,🤝,like,3.0
21,🍾,like,5.0
22,💋,like,5.0
23,🦄,like,3.0
24,🕊️,like,4.5
25,💟,like,4.5
26,💵,like,3.5
27,👾,like,2.0
28,🎈,neutral,1.0
29,🍌,dislike,-4.0
30,🍉,neutral,0.0
31,🍓,like,3.0
32,🆒,like,3.5
33,🐾,neutral,1.0
34,💅,like,3.5
37,😢,like,4.0
38,💔,like,3.5
39,🤔,neutral,-1.0
40,🧐,neutral,-1.5
41,😐,neutral,-1.0
42,🤷,dislike,-2.0
43,😮,neutral,2.0
44,💬,neutral,0.0
45,👀,dislike,-2.0
46,Ghost,neutral,1.0
47,👻,like,2.5
48,👨‍💻,neutral,1.5
49,🐱,like,2.5
50,Dogs,like,2.5
51,🐶,neutral,1.0
52,🐰,neutral,1.0
53,🦊,neutral,1.5
54,☃️,like,3.5
55,🎄,like,3.5
56,❤,like,4.0
57,❤‍🔥,like,5.0
58,🤣,like,2.0
59,💘,like,3.5
60,🕊,like,4.0
61,👌,like,3.5
62,🤯,like,5.0
63,💊,neutral,2.0
64,🤷‍♂,neutral,-1.5
65,🎅,like,2.5
66,🌚,dislike,-3.0
68,🙏,like,2.5
67,🫡,neutral,2.0
69,😍,like,2.5
70,🐳,neutral,-2.0
72,😴,dislike,-3.5
71,🥱,dislike,-4.0
73,🙄,dislike,-3.0
74,🤨,dislike,-3.0
75,😤,dislike,-4.5
77,🤬,dislike,-5.0
76,😡,dislike,-4.0
78,👿,like,4.0
79,👎,dislike,-4.0
81,🙉,dislike,-4.5
83,🙊,dislike,-4.0
80,🚫,neutral,-0.5
82,🙈,neutral,0.5
84,🥴,dislike,-5.0
85,🤢,dislike,-5.0
87,💩,dislike,-5.0
89,🖕,dislike,-5.0
86,🤮,dislike,-5.0
88,🤡,dislike,-5.0
35,😭,like,4.5
36,😱,like,4.0
95,CustomEmoji,neutral,0.0
93,🗿,neutral,1.0
92,✍,like,2.5
90,😁,like,2.5
91,🤗,like,4.0
94,🌭,dislike,-2.0
96,😎,like,3.0
97,🤓,like,2.0
98,☃,like,3.5
