id,metadata
6,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""July"", ""lastfm_artist"": ""Hozier""}"
4292,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Past Life"", ""lastfm_artist"": ""Tame Impala""}"
22,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Stan (feat. Dido)"", ""lastfm_artist"": ""Eminem""}"
13,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Mockingbird"", ""lastfm_artist"": ""Eminem""}"
468,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Believer"", ""lastfm_artist"": ""Imagine Dragons""}"
28,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Lonely Day"", ""lastfm_artist"": ""System of a Down""}"
689,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Life Is Beautiful"", ""lastfm_artist"": ""Lil Peep""}"
6779,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""CRAZY"", ""lastfm_artist"": ""LE SSERAFIM""}"
30,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""The Monster (feat. Rihanna)"", ""lastfm_artist"": ""Eminem""}"
23,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Not Afraid"", ""lastfm_artist"": ""Eminem""}"
16,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""When I'm Gone"", ""lastfm_artist"": ""Eminem""}"
17,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Stan"", ""lastfm_artist"": ""Eminem""}"
6780,"{""lastfm_kind"": ""artist"", ""cover_source"": ""fanart"", ""lastfm_artist"": ""Cocoon""}"
735,"{""lastfm_kind"": ""artist"", ""cover_source"": ""fanart"", ""lastfm_artist"": ""Cold""}"
31,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Sing For The Moment"", ""lastfm_artist"": ""Eminem""}"
32,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Superman"", ""lastfm_artist"": ""Eminem & Dina Rae""}"
20,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""killshot"", ""lastfm_artist"": ""eminem""}"
29,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Space Bound"", ""lastfm_artist"": ""Eminem""}"
850,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""This Love (Taylor’s Version)"", ""lastfm_artist"": ""Taylor Swift""}"
5126,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Paragon"", ""lastfm_artist"": ""Soen""}"
26,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Till I Collapse"", ""lastfm_artist"": ""Eminem""}"
24,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Guilty Conscience 2"", ""lastfm_artist"": ""Eminem""}"
21,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Somebody Save Me"", ""lastfm_artist"": ""Eminem""}"
18,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Love The Way You Lie"", ""lastfm_artist"": ""Eminem""}"
15,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Without Me"", ""lastfm_artist"": ""Eminem""}"
19,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Stan"", ""lastfm_artist"": ""Eminem, Dido""}"
27,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Houdini"", ""lastfm_artist"": ""Eminem""}"
25,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""The Monster"", ""lastfm_artist"": ""Eminem, Rihanna""}"
