id,score
1,4.0
2,4.5
3,4.0
4,5.0
5,3.5
6,3.5
7,3.0
8,4.0
9,4.5
10,4.0
11,4.5
12,4.5
13,4.5
14,4.5
15,4.5
16,2.0
17,3.0
18,1.0
19,1.0
20,3.0
21,5.0
22,5.0
23,3.0
24,4.5
25,4.5
26,3.5
27,2.0
28,1.0
29,-4.0
30,0.0
31,3.0
32,3.5
33,1.0
34,3.5
37,4.0
38,3.5
39,-1.0
40,-1.5
41,-1.0
42,-2.0
43,2.0
44,0.0
45,-2.0
46,1.0
47,2.5
48,1.5
49,2.5
50,2.5
51,1.0
52,1.0
53,1.5
54,3.5
55,3.5
56,4.0
57,5.0
58,2.0
59,3.5
60,4.0
61,3.5
62,5.0
63,2.0
64,-1.5
65,2.5
66,-3.0
68,2.5
67,2.0
69,2.5
70,-2.0
72,-3.5
71,-4.0
73,-3.0
74,-3.0
75,-4.5
77,-5.0
76,-4.0
78,4.0
79,-4.0
81,-4.5
83,-4.0
80,-0.5
82,0.5
84,-5.0
85,-5.0
87,-5.0
89,-5.0
86,-5.0
88,-5.0
35,4.5
36,4.0
95,0.0
93,1.0
92,2.5
90,2.5
91,4.0
94,-2.0
96,3.0
97,2.0
98,3.5
