track_id,user_id,message_id,reaction_id
1,944715188305,4.0,56
3,852351726930,6.0,2
5,221736714783,8.0,56
15,616554609597,18.0,56
21,616554609597,24.0,57
21,142796071743,24.0,57
22,142796071743,25.0,17
31,616554609597,34.0,56
43,616554609597,46.0,56
49,616554609597,52.0,56
54,616554609597,57.0,56
54,142796071743,57.0,31
56,438071472030,59.0,17
57,616554609597,60.0,56
69,616554609597,72.0,56
81,474962259613,84.0,57
81,684877701428,84.0,57
81,836928405393,84.0,57
84,172105222291,87.0,56
86,616554609597,89.0,56
89,142796071743,92.0,16
92,616554609597,95.0,56
101,944715188305,106.0,56
104,753128310892,110.0,2
108,253595547136,115.0,2
109,906787991853,116.0,34
109,128533184648,116.0,2
111,801392618851,123.0,2
113,509760591885,129.0,17
114,821068817689,130.0,17
114,509760591885,130.0,17
115,509760591885,131.0,2
117,216743486564,139.0,2
117,509760591885,139.0,2
117,821068817689,139.0,2
118,475272494144,152.0,56
118,901009833329,152.0,56
120,394117657821,157.0,2
120,509760591885,157.0,2
121,230986011321,158.0,2
121,874158820580,158.0,2
121,268676520128,158.0,2
121,906787991853,158.0,2
121,460041714076,158.0,58
121,258609519481,158.0,59
54,216743486564,161.0,56
127,929819142165,172.0,2
128,263021605118,174.0,2
129,391031877698,175.0,2
129,263021605118,175.0,2
130,509760591885,176.0,57
131,409021197613,178.0,2
131,391031877698,178.0,3
131,380452084443,178.0,2
131,929819142165,178.0,2
133,263021605118,181.0,2
133,801392618851,181.0,2
133,128533184648,181.0,2
133,515788758231,181.0,2
133,509760591885,181.0,2
133,475272494144,181.0,2
134,821068817689,182.0,2
134,128533184648,182.0,2
135,906787991853,183.0,2
135,263021605118,183.0,2
135,821068817689,183.0,2
135,509760591885,183.0,2
136,929819142165,184.0,2
136,263021605118,184.0,2
136,821068817689,184.0,2
136,886404893572,184.0,32
137,929819142165,185.0,56
137,216743486564,185.0,56
137,263021605118,185.0,57
137,801392618851,185.0,56
137,886404893572,185.0,56
137,985288390348,185.0,57
137,391031877698,185.0,56
137,475272494144,185.0,56
137,509760591885,185.0,57
138,315631053874,186.0,2
138,144838920781,186.0,2
138,128533184648,186.0,2
138,906787991853,186.0,71
139,509760591885,187.0,17
139,874158820580,187.0,16
17,475272494144,189.0,17
141,929819142165,191.0,2
141,874158820580,191.0,2
141,128533184648,191.0,2
142,874158820580,192.0,10
142,703052179864,192.0,10
142,356452813834,192.0,10
144,253595547136,196.0,56
144,509760591885,196.0,56
144,801392618851,196.0,56
146,928449532550,198.0,56
146,673287051851,198.0,17
146,886404893572,198.0,3
146,509760591885,198.0,56
146,128533184648,198.0,2
147,216743486564,199.0,57
147,509760591885,199.0,57
147,409021197613,199.0,57
147,801346475500,199.0,57
147,821068817689,199.0,57
147,128533184648,199.0,57
147,410040702296,199.0,57
147,475272494144,199.0,57
147,144838920781,199.0,57
147,869679830682,199.0,57
148,673287051851,200.0,56
148,801392618851,200.0,56
150,821068817689,203.0,2
150,216743486564,203.0,2
150,128533184648,203.0,2
151,821068817689,204.0,56
151,128533184648,204.0,56
151,509760591885,204.0,56
151,253595547136,204.0,56
152,874158820580,205.0,2
152,140289111734,205.0,2
152,929819142165,205.0,20
153,526511095358,206.0,56
153,145533674118,206.0,56
153,140289111734,206.0,56
154,852351726930,207.0,17
154,253595547136,207.0,2
123,509760591885,208.0,56
156,509760591885,211.0,57
157,509760591885,212.0,2
158,886404893572,213.0,60
158,509760591885,213.0,2
159,216743486564,216.0,2
159,821068817689,216.0,2
159,801392618851,216.0,2
160,128533184648,218.0,57
160,509760591885,218.0,57
161,673287051851,219.0,2
161,216743486564,219.0,2
161,128533184648,219.0,2
161,515788758231,219.0,2
162,801392618851,220.0,2
165,142796071743,224.0,17
165,929819142165,224.0,17
166,509760591885,225.0,17
167,175682234295,226.0,2
167,673287051851,226.0,2
167,515788758231,226.0,2
168,509760591885,227.0,16
169,128533184648,228.0,2
171,263021605118,231.0,2
171,703052179864,231.0,56
171,509760591885,231.0,2
172,703052179864,232.0,2
173,703052179864,233.0,2
174,867935070956,235.0,17
174,852351726930,235.0,16
135,263021605118,236.0,56
135,801346475500,236.0,56
135,515788758231,236.0,56
176,947026405030,239.0,2
176,874158820580,239.0,2
176,929819142165,239.0,2
177,140289111734,240.0,56
177,263021605118,240.0,56
177,703052179864,240.0,56
177,874158820580,240.0,56
177,509760591885,240.0,56
179,263021605118,242.0,17
179,867935070956,242.0,17
180,915949105834,243.0,56
180,263021605118,243.0,79
180,667094331416,243.0,56
180,410040702296,243.0,57
180,140289111734,243.0,57
180,394117657821,243.0,16
181,874158820580,244.0,8
181,177371299101,244.0,8
182,114447454905,245.0,2
182,947026405030,245.0,2
182,874158820580,245.0,2
182,886404893572,245.0,2
182,929819142165,245.0,2
183,475272494144,246.0,17
188,874158820580,251.0,2
188,509760591885,251.0,2
188,128533184648,251.0,2
188,821068817689,251.0,2
189,874158820580,252.0,2
189,509760591885,252.0,2
189,128533184648,252.0,2
189,515788758231,252.0,2
190,509760591885,253.0,2
190,801392618851,253.0,2
190,128533184648,253.0,2
190,515788758231,253.0,2
191,509760591885,254.0,2
191,128533184648,254.0,2
191,821068817689,254.0,2
192,509760591885,255.0,2
192,801392618851,255.0,2
192,128533184648,255.0,2
192,821068817689,255.0,2
193,509760591885,256.0,57
49,801392618851,259.0,56
49,253595547136,259.0,56
194,703052179864,260.0,2
194,128533184648,260.0,56
150,874158820580,262.0,2
150,515788758231,262.0,2
195,821068817689,264.0,56
195,801392618851,264.0,56
195,703052179864,264.0,2
195,509760591885,264.0,56
196,874158820580,265.0,57
198,703052179864,269.0,2
201,315631053874,272.0,17
202,867935070956,275.0,10
204,144838920781,280.0,56
204,394117657821,280.0,17
204,509760591885,280.0,17
204,515788758231,280.0,17
205,821068817689,281.0,2
205,801392618851,281.0,17
205,515788758231,281.0,17
206,929819142165,282.0,35
207,821068817689,283.0,56
207,703052179864,283.0,56
207,391031877698,283.0,56
207,177371299101,283.0,17
210,821068817689,286.0,38
210,394117657821,286.0,38
210,144838920781,286.0,38
210,801392618851,286.0,38
211,703052179864,287.0,2
211,690937716610,287.0,56
213,821068817689,289.0,57
213,818493235519,289.0,57
213,801392618851,289.0,57
213,874158820580,289.0,57
213,929819142165,289.0,57
213,144838920781,289.0,57
214,867935070956,290.0,56
214,509760591885,290.0,56
214,874158820580,290.0,56
214,144838920781,290.0,56
216,801392618851,292.0,56
216,821068817689,292.0,56
216,963223966093,292.0,56
217,801346475500,293.0,2
217,394117657821,293.0,2
217,509760591885,293.0,2
217,801392618851,293.0,2
217,542654609056,293.0,2
217,821068817689,293.0,2
217,703052179864,293.0,2
218,475272494144,294.0,2
218,253595547136,294.0,2
218,703052179864,294.0,56
218,801392618851,294.0,2
218,216743486564,294.0,2
219,703052179864,295.0,79
220,515788758231,296.0,2
220,253595547136,296.0,2
220,509760591885,296.0,2
220,874158820580,296.0,2
221,703052179864,297.0,10
221,874158820580,297.0,2
222,515788758231,298.0,17
222,703052179864,298.0,2
222,867935070956,298.0,17
222,801392618851,298.0,17
222,874158820580,298.0,2
223,515788758231,299.0,56
223,394117657821,299.0,56
223,703052179864,299.0,2
224,852351726930,300.0,2
224,867935070956,300.0,17
224,253595547136,300.0,2
224,509760591885,300.0,2
224,874158820580,300.0,2
224,929819142165,300.0,2
169,515788758231,301.0,2
169,874158820580,301.0,2
169,260075900073,301.0,2
226,515788758231,303.0,56
227,703052179864,305.0,2
227,509760591885,305.0,56
170,515788758231,306.0,56
228,801346475500,307.0,56
229,874158820580,308.0,17
