id,artists_id,uploaded_by
11320,233,408647073007
7956,453,563388874988
7,8,
3282,"1109,1110",929819142165
14,,
20,,
3,3,
27,30,
7952,145,812649641749
1,1,
2,2,
5,"5,6","618355761471,496854931147,869395596643"
9,1,"874158820580,123317730197,994985901817,616554609597,348461817543"
11,"11,12",
13,14,
16,"7,16,17",
18,23,
23,27,
29,32,
30,33,175682234295
31,"34,35",426362434662
32,"36,37",
33,38,
2373,885,"128533184648,536320523506"
3283,412,462346580459
40,42,
10924,191,949538583064
60,60,
1228,"758,759",140289111734
2398,215,584661223260
53,54,312759452298
34,"28,17",393625365002
38,40,
39,41,
42,"44,45,46",
44,"36,37",
46,47,
47,"36,37",
48,50,
50,33,
55,56,
56,57,"812649641749,694195477658,313128132368"
58,33,812649641749
62,"62,63,64",
64,66,
65,"67,17,68",
66,69,
68,70,
70,72,
81,82,
2739,234,"579377061875,407445230620,309842505795"
5180,2230,249593721612
83,85,
7626,163,355242680870
8014,"3077,295","438071472030,438071472030"
12784,638,394117657821
11131,1887,408647073007
49,51,"177371299101,769929183709,849733476327,172105222291"
69,71,
74,76,
79,80,"812649641749,716282150015"
80,81,874158820580
82,"83,84",
85,18,"874158820580,197341950772"
87,50,
89,88,
91,"90,91",
93,93,874158820580
94,94,
99,95,
100,49,
120,115,"874158820580,874158820580"
1229,29,"542654609056,958249908971,172095131804"
112,"106,107,108",703052179864
7627,1688,365660435784
7962,2582,904324119139
2740,710,130713082052
7990,343,"636545644634,368390667456,126580655982,636545644634"
7991,353,812649641749
113,89,515788758231
1230,,769929183709
8115,3106,175682234295
10689,"2048,3878",531129283270
7628,"2944,2945",658081147494
143,"140,141,142",929819142165
107,"99,100",801392618851
110,104,"509760591885,509760591885,509760591885"
115,"109,110",515788758231
116,"111,112,113,114",509760591885
121,"116,117",102374066294
122,"118,119","874158820580,874158820580"
124,"120,44",874158820580
125,"44,121,122",874158820580
126,123,"874158820580,812649641749,616040736095"
132,131,263021605118
140,"136,113,137",509760591885
1231,760,769929183709
1232,760,769929183709
17,"18,19,20,21,22",874158820580
142,139,356452813834
7774,834,536320523506
5182,54,896894389979
13206,1221,"892495927684,616554609597"
151,303,515788758231
10691,916,566789475601
145,"144,107,108","703052179864,703052179864,140289111734,703052179864,168459389183"
138,214,906787991853
10692,"1672,3879",567839591024
129,"127,128","929819142165,929819142165"
130,129,"929819142165,996405937084"
134,132,"509760591885,509760591885,801392618851,509760591885"
139,135,232920340516
144,143,821068817689
146,135,"515788758231,329418732523"
149,147,140289111734
150,148,"509760591885,509760591885,509760591885,951313012753"
157,154,"515788758231,783298102704"
163,157,801392618851
164,"44,157",874158820580
166,159,515788758231
175,132,509760591885
178,166,102374066294
179,167,394117657821
159,,177371299101
6362,770,498927610170
8022,3078,971657212338
174,164,140289111734
5117,953,"462346580459,898318050461"
211,187,867935070956
180,147,867935070956
158,135,515788758231
176,165,145533674118
181,168,"915949105834,703052179864,497893661469"
183,169,"509760591885,509760591885,817434891767,467506873802"
184,169,"509760591885,275983206365"
186,170,579377061875
187,171,579377061875
191,148,"515788758231,509760591885"
199,177,874158820580
208,185,"874158820580,812649641749,863329919180"
215,191,"509760591885,509760591885"
1233,"475,476",874158820580
12147,17,"263021605118,288354675743"
8060,"244,2550,108","867935070956,867935070956"
7630,52,658081147494
2122,17,753128310892
5184,29,409371505827
5183,550,591971526382
8040,3082,106063004519
2817,1476,140289111734
8042,1418,873750467314
237,205,667094331416
220,"181,195",102374066294
234,202,867935070956
230,145,"801392618851,922388669862,173975302140"
19,24,812649641749
195,174,"515788758231,799443797620"
198,176,"874158820580,874158820580"
209,175,"874158820580,478701691965,812649641749,396287033930,197341950772"
217,"193,107,108",515788758231
218,60,821068817689
222,196,394117657821
235,203,509760591885
236,204,667094331416
239,207,801392618851
2743,1446,734535702313
2355,1283,"929819142165,888721759330"
233,202,867935070956
